Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11292,2023-03-13,-0.225239657,-0.242130549,-0.221002209,21,100
Market-Adjusted Model,11293,2023-03-13,-0.135839256,-0.136453562,-0.131601807,21,100
Market-Adjusted Model,11308,2023-03-13,0.0330549498,0.0361366132,0.0372923979,21,100
Market-Adjusted Model,11368,2023-03-13,-0.001290906,0.0120630388,0.0029465418,21,100
Market-Adjusted Model,11369,2023-03-13,-0.093790941,-0.088091174,-0.089553493,21,100
Market-Adjusted Model,11370,2023-03-13,-0.115951412,-0.11546607,-0.111713963,21,100
Market-Adjusted Model,11379,2023-03-13,-0.148900113,-0.140894737,-0.144662665,21,100
Market-Adjusted Model,11394,2023-03-13,0.113089934,0.5401864229,0.1173273821,21,100
Market-Adjusted Model,11397,2023-03-13,-0.160668034,-0.163268052,-0.156430586,21,100
Market-Adjusted Model,11403,2023-03-13,0.0595127405,0.0626863142,0.0637501886,21,100
Market-Adjusted Model,11404,2023-03-13,0.0362699682,0.0413323942,0.0405074163,21,100
Market-Adjusted Model,11407,2023-03-13,-0.036430178,-0.031699453,-0.03219273,21,100
Market-Adjusted Model,11442,2023-03-13,-0.066171932,-0.061376416,-0.061934484,21,100
Market-Adjusted Model,11481,2023-03-13,-0.240210429,-0.252858593,-0.235972981,21,100
Market-Adjusted Model,11499,2023-03-13,-0.028416793,-0.013603719,-0.024179345,21,100
Market-Adjusted Model,11511,2023-03-13,-0.116666635,-0.116796654,-0.112429187,21,100
Market-Adjusted Model,11533,2023-03-13,0.0340721434,0.0406232211,0.0383095915,21,100
Market-Adjusted Model,11547,2023-03-13,0.0775621835,0.0835983235,0.0817996316,21,100
Market-Adjusted Model,11565,2023-03-13,-0.276943213,-0.302900554,-0.272705765,21,100
Market-Adjusted Model,11581,2023-03-13,-0.020950216,-0.012035422,-0.016712768,21,100
Market-Adjusted Model,11587,2023-03-13,-0.073404303,-0.057490827,-0.069166855,21,100
Market-Adjusted Model,11593,2023-03-13,-0.147058785,-0.153601112,-0.142821337,21,100
